IN FILE,CLIP LENGTH,OFFSET,DURATION,MAX FREQ,MIN FREQ,SAMPLE RATE,MANUAL ID,TIME_SPENT,LAST MOD BY,LAST MOD DATE,LAST MOD TIME,FOLDER
Actitis-macularius-257516.wav,21.76,6.5711,1.0,24000,0,44100,Actitis-macularius,4935.94,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257516.wav,21.76,1.7911,0.54,24000,0,44100,Actitis-macularius,4935.93,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257516.wav,21.76,14.6511,0.62,24000,0,44100,Actitis-macularius,4935.94,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257516.wav,21.76,9.1711,0.89,24000,0,44100,Actitis-macularius,4935.94,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257516.wav,21.76,5.0511,0.65,24000,0,44100,Actitis-macularius,4935.94,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257516.wav,21.76,19.1611,0.81,24000,0,44100,Actitis-macularius,4935.94,alarce, 11/22/2021, 03:18:44,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,3.6908,0.4599,24000,0,44100,Actitis-macularius,73.475,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,2.0409,1.3899,24000,0,44100,Actitis-macularius,73.472,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,6.6605,0.4299,24000,0,44100,Actitis-macularius,73.476,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,5.4106,0.8099,24000,0,44100,Actitis-macularius,73.476,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,7.7804,0.6699,24000,0,44100,Actitis-macularius,73.477,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,9.6202,1.3599,24000,0,44100,Actitis-macularius,73.477,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,12.7099,0.8099,24000,0,44100,Actitis-macularius,73.478,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,11.69,0.31,24000,0,44100,Actitis-macularius,73.478,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,17.8894,0.82,24000,0,44100,Actitis-macularius,73.479,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,19.1393,0.65,24000,0,44100,Actitis-macularius,73.479,alarce, 11/22/2021, 02:38:43,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,20.4092,0.33,24000,0,44100,Actitis-macularius,82.839,alarce, 11/22/2021, 02:38:53,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,2.0209,1.5599,24000,0,44100,Actitis-macularius,4294.92,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,5.4006,1.0599,24000,0,44100,Actitis-macularius,4294.92,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,3.6908,0.3599,24000,0,44100,Actitis-macularius,4294.92,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,10.5801,0.38,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,7.7404,0.7099,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,6.7005,0.3799,24000,0,44100,Actitis-macularius,4294.92,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,9.6502,0.7799,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,11.66,0.35,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,13.1099,0.38,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,12.7199,0.39,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,17.8095,0.9299,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,19.1193,0.66,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-257519.wav,22.178,20.3992,0.35,24000,0,44100,Actitis-macularius,4294.93,alarce, 11/22/2021, 03:08:02,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,0.0975,0.2808,24000,0,44100,Actitis-macularius,2943.39,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,3.9061,0.3598,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,2.4932,0.2984,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,3.2303,0.2545,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,0.8434,0.2545,24000,0,44100,Actitis-macularius,2943.39,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,1.7473,0.2018,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,4.6432,0.351,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
Actitis-macularius-415533.wav,16.849,5.354,0.3335,24000,0,44100,Actitis-macularius,2943.4,alarce, 11/22/2021, 08:18:09,./Mixed_Bird/
